Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Hepatitis B,1/162,0.550211474654346,0.6632013310565777,0,0,1.2640712044566818,0.7552225964462853,CCNA2
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.550211474654346,0.6632013310565777,0,0,1.2640712044566818,0.7552225964462853,EPO
KEGG_2021_Human,Tight junction,1/169,0.5655388297615801,0.6756437346709143,0,0,1.2109720176730483,0.6902253758384524,PPP2R2C
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.5906206998786127,0.6994192498562518,0,0,1.129553264604811,0.5948015828821587,CXCL1
KEGG_2021_Human,Alcoholism,1/186,0.6006434601043347,0.705103192296393,0,0,1.0987461688492617,0.5600899962456035,SLC6A3
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.6065401271846599,0.7058872169821473,0,0,1.0810484755428822,0.5405073635769386,GP1BA
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.6142684900515228,0.708771334674834,0,0,1.058311855670103,0.515739884332066,CXCL1
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.6311122366837961,0.7120555006437711,0,0,1.0104631481766426,0.4650874506724692,CCNA2
KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.6329382227944632,0.7120555006437711,0,0,1.0054098193324488,0.4598568123745101,SLC2A1
KEGG_2021_Human,Viral carcinogenesis,1/203,0.6329382227944632,0.7120555006437711,0,0,1.0054098193324488,0.4598568123745101,CCNA2
KEGG_2021_Human,cAMP signaling pathway,1/216,0.6558774650539904,0.7295292820553458,0,0,0.9439942459841764,0.3981591189061752,ATP1A3
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.65927831415372,0.7295292820553458,0,0,0.93519882179676,0.3896127188167416,DIAPH3
KEGG_2021_Human,Coronavirus disease,1/232,0.6821705232220058,0.7367441650797663,0,0,0.877895300575713,0.3357735479273342,MMP3
KEGG_2021_Human,Pathways of neurodegeneration,2/475,0.6797890782331347,0.7367441650797663,0,0,0.8557522903453136,0.3302970288786864,FZD7;SLC6A3
KEGG_2021_Human,Ras signaling pathway,1/232,0.6821705232220058,0.7367441650797663,0,0,0.877895300575713,0.3357735479273342,TEK
