gene,log2FC,t_stat,p_value,p_adjusted
SLC16A11,-0.490208258898289,-4.7772234285708315,2.602565685091436e-06,0.002602565685091436
SPP2,-0.489962873252528,-4.774678888027451,2.6336760170224786e-06,0.0026336760170224786
RBP4,-0.48861233676292076,-4.760678849444407,2.8113602354005506e-06,0.0028113602354005508
DAGLA,0.48801601078145024,4.754499515349662,2.8934105707130934e-06,0.0028934105707130934
RAP1GAP,0.48787611890553884,4.753050119369163,2.912987357668355e-06,0.0029129873576683547
HELLS,0.48726307384528644,4.746699384526562,3.0002807548805553e-06,0.0030002807548805553
FMO4,-0.48697037108066354,-4.74366771533788,3.0428357412243586e-06,0.0030428357412243586
LRP12,0.48620044563237813,4.73569485723378,3.157542918460256e-06,0.003157542918460256
AZGP1,-0.4861208101065593,-4.734870330997613,3.169640444669759e-06,0.003169640444669759
FTCD,-0.4848683183108601,-4.721905816074807,3.3658289305011557e-06,0.0033658289305011557
LAPTM4B,0.4848307647272726,4.721517210634654,3.371886474560288e-06,0.003371886474560288
DCXR,-0.4846267641139126,-4.719406227910046,3.4049761237623643e-06,0.003404976123762364
APOC4,-0.4827256013124902,-4.699741181210247,3.728627412098173e-06,0.003728627412098173
KCNJ11,0.4813192671906908,4.685203783821603,3.986719337965635e-06,0.003986719337965635
CTHRC1,0.4812668631502889,4.684662225769657,3.996658760080433e-06,0.003996658760080433
PPARGC1A,-0.481160972245558,-4.683567963248972,4.016815010329741e-06,0.0040168150103297405
GCNT3,0.4800802625803865,4.672402580365943,4.228152077384064e-06,0.004228152077384064
CCT6B,-0.4797506060501879,-4.6689976598305005,4.294701435863662e-06,0.004294701435863662
PCK1,-0.4796118308595896,-4.667564401965098,4.323014939944161e-06,0.004323014939944162
MMP7,0.47944524405281175,4.665844024105558,4.357237610132996e-06,0.004357237610132996
EHHADH,-0.47835458003057174,-4.6545832410305135,4.5877656135603445e-06,0.004587765613560345
TM4SF19,0.47830653142118473,4.654087255602755,4.598184467606174e-06,0.004598184467606174
STC2,0.4780252335529171,4.651183755778297,4.659634604679106e-06,0.0046596346046791064
SLC38A1,0.4779528081506118,4.650436235995683,4.6755826507642254e-06,0.004675582650764226
IKBKE,0.4778432295373656,4.649305304852783,4.699810477865035e-06,0.004699810477865035
F7,-0.47761964928500283,-4.64699793014062,4.7496162116227325e-06,0.004749616211622732
CFHR4,-0.47621044339884155,-4.632459269433127,5.075315477273814e-06,0.005075315477273814
HAVCR1,0.4761229493935165,4.631556862837075,5.0962240657064e-06,0.0050962240657064
ADH1A,-0.47509333174782215,-4.620939662111635,5.34852702381665e-06,0.00534852702381665
AASS,-0.4745569792327431,-4.615410552657139,5.484631287532038e-06,0.005484631287532038
MMP1,0.4744533197193549,4.61434208079217,5.511313860866199e-06,0.005511313860866199
